N,"t, sec","sigma_t, sec","mass, gramm","length, cm","phi, rad"
4,268,1,180.0,121.0,0.16
4,264,1,180.0,121.0,0.18
4,275,1,180.0,121.0,0.16
4,263,1,180.0,121.0,0.17
4,267,1,180.0,121.0,0.17
3,235,1,216.0,108.0,0.17
3,226,1,216.0,108.0,0.15
3,234,1,216.0,108.0,0.16
3,229,1,216.0,108.0,0.16
3,230,1,216.0,108.0,0.18
6,203,1,614.0,111,0.16
6,207,1,614.0,111,0.17
6,199,1,614.0,111,0.17
6,205,1,614.0,111,0.17
6,204,1,614.0,111,0.16
3,287,1,142.0,121.0,0.17
3,278,1,142.0,121.0,0.16
3,282,1,142.0,121.0,0.15
3,282,1,142.0,121.0,0.17
3,285,1,142.0,121.0,0.14
4,175,1,273.0,122.0,0.16
4,175,1,273.0,122.0,0.17
4,178,1,273.0,122.0,0.16
4,173,1,273.0,122.0,0.16
4,176,1,273.0,122.0,0.17
5,208,1,341.0,110,0.16
5,210,1,341.0,110,0.16
5,207,1,341.0,110,0.17
5,209,1,341.0,110,0.17
5,208,1,341.0,110,0.17
